call_id,agent_sentiment,borrower_sentiment,disposition,type
1558137f-4ab5-409e-8159-109c2e9358d5,0.26993145743145747,0.2537162162162162,No Pay - Bankruptcy,negative
05c54daf-9bca-4bd7-b833-b3ba8c1e06e0,0.385,0.16666666666666669,No Pay - Cant pay now,negative
84fb4fec-b36f-43bc-a4ef-a27ba322c146,0.43709677419354837,0.40909090909090906,No Pay - Dispute,negative
2133927a-0d11-4d54-98d6-cd21c71417f0,0.19731799890250593,0.27852564102564104,No Pay - Dispute,negative
048518c6-c17c-4524-8ff3-6a0b2735863c,0.385,0.2,No Pay - Dispute,negative
7d1206a8-ca1f-4478-aea0-590f27da4af2,0.35967741935483866,0.3458333333333334,No Pay - Not right now,negative
d8df04f1-9c6a-42e4-bd1a-508102f75588,0.7999999999999999,0.0,No Pay - Cant pay now,negative
a9a297c7-7f99-4063-8847-55ca48ce63b1,0.26324404761904757,0.42857142857142855,No Pay - Dispute,negative
376ab872-a1d0-4f45-acfa-480425ef1119,0.20636796536796534,0.26666666666666666,No Pay - Not right now,negative
16767a2f-e37c-451a-a430-553d1cd2375f,0.2203299916457812,0.22931034482758625,No Pay - Dispute,negative
d347b2a6-0d4e-45d0-b585-666d7e786576,0.42714285714285716,0.31778711484593836,No Pay - Dispute,negative
8965d975-3721-475d-ad5b-04a54a6f4e64,0.33611111111111114,0.2762987012987013,No Pay - Bankruptcy,negative
149e9ebb-a00b-4fef-b1e5-130a1bf01a10,0.27863247863247853,0.20922619047619048,No Pay - Not right now,negative
bbb5b095-b612-428e-ace2-218e21156ac1,0.35000000000000003,0.29375,No Pay - Not right now,negative
adeb72b0-d6bb-4c40-ab7b-070bc3622f12,0.31437436676798375,0.2840909090909091,No Pay - Dispute,negative
d8af01ee-c571-4586-8f09-051ee46b1bfa,0.44000000000000006,0.425,No Pay - Not right now,negative
9b7c4bfb-58ac-4bd1-af08-df00dd64bf0c,0.1457070707070707,0.2995907738095238,No Pay - Not right now,negative
4307fc04-ec7c-4625-a9c8-6b6bd7914945,0.3492673992673993,0.39285714285714285,No Pay - Dispute,negative
5df64e94-d909-4b23-a166-c4af494c600a,0.48999999999999994,0.2,No Pay - Cant pay now,negative
81fb05c3-8f21-4a3b-a1f0-325418ddd9a6,0.3090678824721378,0.37982804232804224,No Pay - Not right now,negative
50e0586b-9b7d-4286-a363-7f995b38b552,0.5071428571428572,0.0,No Pay - Dispute,negative
4eea3e71-c692-4025-87b4-886c617dc3e7,0.25014430014430017,0.17835743801652892,No Pay - Dispute,negative
d2b334a4-bcab-498d-8f60-c360129d0af4,0.24913194444444445,0.2252777777777778,No Pay - Dispute,negative
3e8ca228-cabf-428b-8073-9c850e7ba682,0.22051111767020856,0.1916666666666667,No Pay - Dispute,negative
c491813c-e4e7-4882-8262-1da92175934a,0.254378434065934,0.2628684807256236,No Pay - Not right now,negative
3ad4464f-7cf6-473b-8477-b4cbbaf9e58f,0.25,0.24914965986394558,No Pay - Not right now,negative
9b4a32bf-bff6-453d-bae4-bb496e2d42a2,0.2818181818181818,0.2287698412698413,No Pay - Dispute,negative
e0773946-fce0-42ed-964e-178c1f01c68c,0.3814814814814815,0.42857142857142855,No Pay - Cant pay now,negative
c5a715f2-ad38-4288-a6ad-ab08beb98667,0.29071657509157517,0.24444444444444444,No Pay - Dispute,negative
1e64679e-bb25-4301-89f1-8af9bfbd246a,0.23406911375661377,0.10909090909090909,No Pay - Dispute,negative
2c8d8974-a6f0-44a5-b31e-a4921f21f140,0.3592105263157895,0.12333333333333332,No Pay - Can't pay now,negative
a4541ada-5194-474d-bb3f-86a917d5b3c6,0.16068090787716952,0.24899267399267394,No Pay - Not right now,negative
26c4f23d-0270-4059-b183-7810bb83b834,0.22895100069013116,0.4571428571428572,No Pay - Not right now,negative
5210ebb9-f1e0-46a7-a5f5-771e6e60f268,0.2650793650793651,0.15281385281385282,No Pay - Dispute,negative
3a9d936c-6fdc-4f9d-b06f-dd1fb8a56944,0.2526846452866861,0.17053571428571426,No Pay - Not right now,negative
7cde1a21-2d10-4ee7-88d0-bcb31f612d27,0.31654002026342454,0.2725417439703154,No Pay - Cant pay now,negative
a9a3707b-cafa-4b8a-a3f2-54699a0244ed,0.21055555555555555,0.1388888888888889,No Pay - Not right now,negative
0092e11e-334e-4152-8369-0336dd43e964,0.2616284013605442,0.10267857142857142,No Pay - Dispute,negative
d694fb84-1298-487f-8246-f15d333080ca,0.35843658892128283,0.23020833333333332,No Pay - Not right now,negative
b0c82b14-59b2-409e-bdc9-1e6e3e149be0,-0.3375,0.0,No Pay - Cant pay now,negative
20e48968-c14e-451b-aa67-5966018d13e1,0.23842970521541948,0.1353615520282187,No Pay - Dispute,negative
f1dfb96c-e9b3-458e-ba75-fd8f11a7fd01,0.1887896825396825,0.07875874125874126,No Pay - Dispute,negative
